Manufacturer,Model,Year,Category,Mileage,FuelType,EngineVolume,DriveWheels,GearBox,Doors,Wheel,Color,LeatherInterior,Price,Clearance
BMW,M6,2014,Coupe,33500.0,Petrol,4.4,Rear,Tiptronic,4/5,Left wheel,White,True,39000,False
MERCEDES-BENZ,GLA 250,2015,Sedan,43000.0,Petrol,2.0,4x4,Tiptronic,4/5,Left wheel,Red,True,10900,False
KIA,Forte,2014,Sedan,83000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Black,False,4500,True
HONDA,FIT,2014,Hatchback,80000.0,Petrol,1.5,Front,Manual,4/5,Left wheel,Grey,False,3650,False
HONDA,FIT,2019,Hatchback,1500.0,Petrol,1.5,Front,Automatic,4/5,Left wheel,Yellow,False,8700,False
MERCEDES-BENZ,Smart ForTwo,2016,Coupe,21000.0,Petrol,0.9,Rear,Tiptronic,2/3,Left wheel,Blue,True,8000,True
TOYOTA,Vitz,2005,Sedan,175000.0,Petrol,1.3,Front,Automatic,4/5,Right-hand drive,Black,False,3300,True
HYUNDAI,Elantra,2011,Sedan,140320.0,Petrol,1.8,Front,Automatic,4/5,Left wheel,Silver,False,3150,False
NISSAN,Juke,2013,Jeep,87000.0,Petrol,1.6,4x4,Tiptronic,4/5,Left wheel,Silver,False,7681,True
BMW,640 M,2015,Sedan,45916.0,Petrol,3.0,4x4,Tiptronic,4/5,Left wheel,White,True,32500,False
LEXUS,IS 350 C,2011,Cabriolet,144000.0,Petrol,3.5,Rear,Tiptronic,2/3,Left wheel,Black,True,10000,True
HYUNDAI,Elantra LIMITED,2013,Sedan,77000.0,Petrol,1.8,Front,Automatic,4/5,Left wheel,Grey,True,6400,True
MITSUBISHI,Pajero,2002,Jeep,167000.0,Petrol,3.0,4x4,Manual,2/3,Left wheel,Black,False,6000,True
FIAT,500,2014,Coupe,179200.0,Petrol,1.4,Front,Tiptronic,2/3,Left wheel,Black,True,3000,False
BMW,650 450 HP,2012,Sedan,105000.0,Petrol,4.4,Rear,Tiptronic,4/5,Left wheel,White,True,22000,True
MERCEDES-BENZ,CLS 63 AMG,2006,Sedan,94000.0,Petrol,6.3,Rear,Tiptronic,4/5,Left wheel,Black,True,8900,True
LEXUS,IS 250,2015,Sedan,93000.0,Petrol,2.5,4x4,Automatic,4/5,Left wheel,Brown,True,16300,True
TOYOTA,Land Cruiser 200,2012,Jeep,80000.0,Diesel,4.5,4x4,Tiptronic,4/5,Left wheel,Grey,True,33000,True
MERCEDES-BENZ,S 550 4matic,2014,Sedan,65000.0,Petrol,4.7,4x4,Automatic,4/5,Left wheel,Black,True,45000,True
MERCEDES-BENZ,E 200,2005,Sedan,187323.0,CNG,1.8,Rear,Automatic,4/5,Left wheel,Silver,True,5100,True
BMW,X5,2014,Jeep,130000.0,Diesel,3.0,4x4,Tiptronic,4/5,Left wheel,Silver,True,31000,True
TOYOTA,Prius C,2014,Hatchback,63000.0,Hybrid,1.5,Front,Variator,4/5,Left wheel,Orange,False,6000,True
TOYOTA,Camry se,2019,Sedan,19050.0,Petrol,2.5,Front,Automatic,4/5,Left wheel,Silver,True,11000,False
FORD,Fusion,2014,Sedan,108000.0,Hybrid,2.0,Front,Variator,4/5,Left wheel,White,True,6500,False
HYUNDAI,Elantra,2012,Sedan,204800.0,LPG,1.8,Front,Tiptronic,4/5,Left wheel,Blue,False,4200,True
FORD,Focus SE,2008,Sedan,135000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Grey,False,2800,True
TOYOTA,Vitz,2001,Sedan,150000.0,Petrol,1.0,Front,Automatic,4/5,Right-hand drive,Pink,False,1717,True
LEXUS,HS 250h,2010,Sedan,128000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Blue,True,4700,False
BMW,328,2010,Sedan,80000.0,Petrol,3.0,Rear,Automatic,4/5,Left wheel,Grey,True,2700,False
LEXUS,HS 250h,2010,Sedan,80000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Grey,True,4700,False
INFINITI,EX35,2008,Jeep,139200.0,Petrol,3.5,Rear,Tiptronic,4/5,Left wheel,Blue,True,6900,True
BMW,328,2012,Sedan,183000.0,Petrol,2.0,Rear,Tiptronic,4/5,Left wheel,Silver,True,13300,True
TOYOTA,RAV 4,2006,Jeep,136000.0,Petrol,2.4,4x4,Automatic,4/5,Left wheel,Black,False,5500,True
TOYOTA,Camry,2016,Sedan,50000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,7400,False
TOYOTA,RAV 4,2012,Jeep,58000.0,Petrol,2.5,4x4,Automatic,4/5,Left wheel,Black,False,6900,False
KIA,Optima,2016,Sedan,48000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Grey,False,6600,False
BMW,535,2013,Sedan,155000.0,Petrol,3.0,Rear,Tiptronic,4/5,Left wheel,Silver,True,11700,True
SUBARU,Forester X20,2002,Jeep,170000.0,LPG,2.0,4x4,Automatic,4/5,Right-hand drive,Golden,False,3300,True
MERCEDES-BENZ,ML 350,2013,Jeep,85862.0,Petrol,3.5,4x4,Tiptronic,4/5,Left wheel,Grey,True,15000,False
HYUNDAI,Accent,2007,Sedan,229000.0,Petrol,1.6,Front,Automatic,4/5,Left wheel,Black,False,2500,True
TOYOTA,Camry,2012,Sedan,127000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Grey,False,4000,False
BMW,X6,2009,Jeep,176000.0,Petrol,5.0,4x4,Tiptronic,4/5,Left wheel,White,True,15700,True
TOYOTA,Camry,2013,Sedan,7900.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,False,6100,False
TOYOTA,Prius C,2013,Hatchback,55000.0,Petrol,1.5,Front,Automatic,4/5,Left wheel,Blue,False,5400,False
FORD,Focus,2013,Hatchback,154000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Black,False,3500,False
TOYOTA,RAV 4,2011,Jeep,120000.0,Diesel,2.2,4x4,Automatic,4/5,Left wheel,White,True,12000,True
VOLKSWAGEN,Jetta,2013,Sedan,110000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Golden,True,4300,False
TOYOTA,Camry,2016,Sedan,140000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Blue,False,10500,True
VOLKSWAGEN,Passat,2011,Sedan,77000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,5500,False
TOYOTA,Prius,2010,Hatchback,252800.0,Hybrid,1.8,Front,Variator,4/5,Left wheel,White,False,4300,False
MERCEDES-BENZ,E 350,2014,Sedan,12000.0,Petrol,3.5,Rear,Tiptronic,4/5,Left wheel,Black,True,15800,True
TOYOTA,Camry SE,2014,Sedan,52000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,8700,True
TOYOTA,Camry XLE,2012,Sedan,95000.0,Hybrid,2.5,Front,Tiptronic,4/5,Left wheel,Grey,True,8000,False
VOLVO,XC90,2005,Jeep,124000.0,Petrol,2.5,4x4,Tiptronic,4/5,Left wheel,Grey,True,4400,True
FORD,Escape,2010,Jeep,140000.0,Hybrid,2.5,4x4,Automatic,4/5,Left wheel,White,False,5500,False
MAZDA,MPV,2004,Minivan,160000.0,CNG,2.3,Front,Automatic,4/5,Right-hand drive,Silver,False,1800,True
MERCEDES-BENZ,Vito,2004,Microbus,170000.0,Diesel,2.2,Front,Tiptronic,4/5,Left wheel,Sky blue,False,7000,True
TOYOTA,Camry,2014,Sedan,85000.0,Hybrid,2.5,Front,Tiptronic,4/5,Left wheel,White,True,8500,False
MERCEDES-BENZ,GLA 250,2016,Jeep,65000.0,Petrol,2.0,4x4,Automatic,4/5,Left wheel,Black,True,17000,True
BMW,X5 M,2015,Jeep,95000.0,Diesel,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,30000,False
FORD,Focus,2014,Sedan,54000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Grey,False,3100,False
TOYOTA,Prius,2007,Hatchback,125000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Black,False,3100,False
LEXUS,GS 350,2017,Sedan,25000.0,Petrol,3.5,4x4,Automatic,4/5,Left wheel,Silver,True,32000,True
TOYOTA,Prius,2015,Hatchback,88000.0,Plug-in Hybrid,1.8,Front,Automatic,4/5,Left wheel,Silver,True,8600,True
VOLKSWAGEN,Passat,2004,Sedan,59439.0,Petrol,4.0,4x4,Tiptronic,4/5,Left wheel,Silver,True,3850,True
HYUNDAI,Elantra,2014,Sedan,192000.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,Grey,False,5900,True
BMW,X5,2011,Jeep,143000.0,Petrol,3.0,4x4,Tiptronic,4/5,Left wheel,White,True,4000,False
FORD,Fusion,2014,Sedan,27700.0,Hybrid,2.0,Front,Automatic,4/5,Left wheel,Black,True,4500,False
FORD,Mustang,2015,Coupe,150000.0,Petrol,3.7,Rear,Automatic,2/3,Left wheel,Red,False,13000,True
LEXUS,GX 460,2013,Jeep,76800.0,Petrol,4.6,4x4,Tiptronic,4/5,Left wheel,Black,True,26000,False
MERCEDES-BENZ,S 400,2010,Sedan,98000.0,Petrol,3.5,Rear,Tiptronic,4/5,Left wheel,Black,True,15500,True
